kind,qualified_name,signature,source_anchor,visibility,summary,inputs_outputs,side_effects,dependencies,development_relevance,evidence_status,review_status
class,pandapower.auxiliary.ControllerNotConverged,class(ppException),pandapower/auxiliary.py#L706,public,Exception being raised in case a controller does not converge.,输入：构造参数由 __init__ 或工厂函数定义；输出：类实例,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,静态扫描未发现直接函数调用,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
class,pandapower.auxiliary.GeoAccessor,class,pandapower/auxiliary.py#L517,public,pandas Series accessor for the geo column. It facilitates the use of geojson strings. NaN entrys are dropped using the accessor!,输入：构造参数由 __init__ 或工厂函数定义；输出：类实例,可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,pd.api.extensions.register_series_accessor；self._validate；apply；GeoSeries；hasattr；AttributeError；soft_dependency_error；np.array；pipe；getattr；callable；all；self._obj.dropna；str；geoms_item；obj.dropna,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.GeoAccessor.__getattr__,"(self, item: str) -> Any",pandapower/auxiliary.py#L580,private,Enables access to all methods or attribute calls from a GeoSeries.,输入：item；输出：Any,可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,hasattr；AttributeError；getattr；callable；geoms_item,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.GeoAccessor.__init__,"(self, pandas_obj: 'pdt.Series[str]') -> None",pandapower/auxiliary.py#L523,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.GeoAccessor.__init__ 的实现与调用链确认。,输入：pandas_obj；输出：None,可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,self._validate,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.GeoAccessor._coords,(self),pandapower/auxiliary.py#L544,private,Extracts the geometry coordinates from the GeoJSON strings. It is not recommended to use the standalone coordinates. Important informations like the crs or latlon/lonlat are lost as a result.,输入：无显式输入；输出：返回值未注解,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,apply；self._obj.dropna,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.GeoAccessor._extract_coords,(x: GeoJSON) -> NDArray[np.float64] | list[NDArray[np.float64]],pandapower/auxiliary.py#L538,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.GeoAccessor._extract_coords 的实现与调用链确认。,输入：x；输出：NDArray[np.float64] | list[NDArray[np.float64]],静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,np.array,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.GeoAccessor._validate,(obj: 'pdt.Series[str]') -> None,pandapower/auxiliary.py#L528,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.GeoAccessor._validate 的实现与调用链确认。,输入：obj；输出：None,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,soft_dependency_error；all；AttributeError；apply；obj.dropna,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.GeoAccessor.as_geo_obj,(self) -> pdt.Series[GeoJSON],pandapower/auxiliary.py#L553,public,Loads the GeoJSON objects.,输入：无显式输入；输出：pdt.Series[GeoJSON],静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,apply；self._obj.dropna,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.GeoAccessor.as_geoseries,(self) -> 'GeoSeries',pandapower/auxiliary.py#L574,public,Converts the PandasSeries to a GeoSeries with shapely geometrys.,输入：无显式输入；输出：'GeoSeries',静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,GeoSeries；pipe；self._obj.dropna,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.GeoAccessor.as_shapely_obj,(self) -> pdt.Series,pandapower/auxiliary.py#L567,public,Converts the GeoJSON strings to shapely geometrys.,输入：无显式输入；输出：pdt.Series,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,apply；self._obj.dropna,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.GeoAccessor.type,(self) -> pdt.Series[str],pandapower/auxiliary.py#L560,public,Extracts the geometry type of the GeoJSON string.,输入：无显式输入；输出：pdt.Series[str],静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,apply；str；self._obj.dropna,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.I0_from_V012,"(V012: NDArray[NumpyDType], Y: NDArray[NumpyDType]) -> NDArray[NumpyDType]",pandapower/auxiliary.py#L1863,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.I0_from_V012 的实现与调用链确认。,"输入：V012, Y；输出：NDArray[NumpyDType]",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,X012_to_X0；type；np.asarray；np.matmul；Y.todense,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.I1_from_V012,"(V012: NDArray[NumpyDType], Y: NDArray[NumpyDType]) -> NDArray[NumpyDType]",pandapower/auxiliary.py#L1871,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.I1_from_V012 的实现与调用链确认。,"输入：V012, Y；输出：NDArray[NumpyDType]",可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,X012_to_X1；type；np.asarray；np.transpose；np.matmul；Y.todense,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.I2_from_V012,"(V012: NDArray[NumpyDType], Y: NDArray[NumpyDType]) -> NDArray[NumpyDType]",pandapower/auxiliary.py#L1881,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.I2_from_V012 的实现与调用链确认。,"输入：V012, Y；输出：NDArray[NumpyDType]",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,X012_to_X2；type；np.asarray；np.matmul；Y.todense,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.I_from_SV_elementwise,"(S: NDArray[NumpyDType], V: NDArray[NumpyDType]) -> NDArray[NumpyDType]",pandapower/auxiliary.py#L1916,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.I_from_SV_elementwise 的实现与调用链确认。,"输入：S, V；输出：NDArray[NumpyDType]",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,np.conjugate；np.divide；np.zeros_like,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.I_from_V,"(Y: Any, V: NDArray[NumpyDType]) -> NDArray[NumpyDType]",pandapower/auxiliary.py#L1901,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.I_from_V 的实现与调用链确认。,"输入：Y, V；输出：NDArray[NumpyDType]",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,type；np.asarray；np.matmul；Y.todense,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
class,pandapower.auxiliary.LoadflowNotConverged,class(ppException),pandapower/auxiliary.py#L699,public,表示潮流未收敛；新系统应转换为结构化求解失败并保留配置、输入和迭代上下文。,输入：构造参数由 __init__ 或工厂函数定义；输出：类实例,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,静态扫描未发现直接函数调用,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,人工复核
class,pandapower.auxiliary.NetCalculationNotConverged,class(ppException),pandapower/auxiliary.py#L713,public,Exception being raised in case a controller does not converge.,输入：构造参数由 __init__ 或工厂函数定义；输出：类实例,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,静态扫描未发现直接函数调用,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
class,pandapower.auxiliary.OPFNotConverged,class(ppException),pandapower/auxiliary.py#L720,public,Exception being raised in case optimal powerflow did not converge.,输入：构造参数由 __init__ 或工厂函数定义；输出：类实例,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,静态扫描未发现直接函数调用,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.SVabc_from_SV012,"(S012: NDArray[NumpyDType], V012: NDArray[NumpyDType], n_res: int | None=None, idx: NDArray[bool] | None=None) -> tuple[NDArray[NumpyDType], NDArray[NumpyDType]]",pandapower/auxiliary.py#L1920,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.SVabc_from_SV012 的实现与调用链确认。,"输入：S012, V012, n_res, idx；输出：tuple[NDArray[NumpyDType], NDArray[NumpyDType]]",可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,np.array；I_from_SV_elementwise；sequence_to_phase；S_from_VI_elementwise；np.ones；np.zeros,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.S_from_VI_elementwise,"(V: NDArray[NumpyDType], I: NDArray[NumpyDType]) -> NDArray[NumpyDType]",pandapower/auxiliary.py#L1912,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.S_from_VI_elementwise 的实现与调用链确认。,"输入：V, I；输出：NDArray[NumpyDType]",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,np.multiply；I.conjugate,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.V1_from_ppc,(ppc: PyPowerNetwork) -> NDArray[NumpyDType],pandapower/auxiliary.py#L1889,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.V1_from_ppc 的实现与调用链确认。,输入：ppc；输出：NDArray[NumpyDType],静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,np.transpose；np.array；np.exp；np.deg2rad,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.V_from_I,"(Y: NDArray[NumpyDType], I: NDArray[NumpyDType]) -> NDArray[NumpyDType]",pandapower/auxiliary.py#L1897,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.V_from_I 的实现与调用链确认。,"输入：Y, I；输出：NDArray[NumpyDType]",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,np.transpose；np.array；sp.sparse.linalg.spsolve,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.X012_to_X0,(X012: NDArray[NumpyDType]) -> NDArray[NumpyDType],pandapower/auxiliary.py#L1799,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.X012_to_X0 的实现与调用链确认。,输入：X012；输出：NDArray[NumpyDType],静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,np.transpose,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.X012_to_X1,(X012: NDArray[NumpyDType]) -> NDArray[NumpyDType],pandapower/auxiliary.py#L1803,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.X012_to_X1 的实现与调用链确认。,输入：X012；输出：NDArray[NumpyDType],静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,np.transpose,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary.X012_to_X2,(X012: NDArray[NumpyDType]) -> NDArray[NumpyDType],pandapower/auxiliary.py#L1807,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.X012_to_X2 的实现与调用链确认。,输入：X012；输出：NDArray[NumpyDType],静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,np.transpose,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._add_auxiliary_elements,(net: pandapowerNet),pandapower/auxiliary.py#L2017,private,"Add auxiliary elements to net, convert the HVDC links to a gen pair and convert the back2back VSC to two monopol VSCs Args: net:",输入：net；输出：返回值未注解,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,len；_add_dcline_gens；_add_vsc_stacked,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._add_dcline_gens,(net: pandapowerNet) -> None,pandapower/auxiliary.py#L1938,private,For each HVDC Link create consumption and supply generator,输入：net；输出：None,可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,net.dcline.itertuples；np.abs；create_gen；np.sign,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._add_opf_options,"(net: pandapowerNet, trafo_loading: Literal['current', 'power'], ac: bool, v_debug: bool=False, **kwargs: Any) -> None",pandapower/auxiliary.py#L1483,private,"creates dictionary for pf, opf and short circuit calculations from input parameters.","输入：net, trafo_loading, ac, v_debug, **kwargs；输出：None",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,options.update；_add_options,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._add_options,"(net: pandapowerNet, options: dict[str, Any]) -> None",pandapower/auxiliary.py#L1544,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary._add_options 的实现与调用链确认。,"输入：net, options；输出：None",可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,net._options.update；set；len；UserWarning；net._options.keys；options.keys,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._add_pf_options,"(net: pandapowerNet, tolerance_mva: float | None, trafo_loading: Literal['current', 'power'], numba: bool, ac: bool, algorithm: Literal['nr', 'iwamoto_nr', 'bfsw', 'gs', 'fdxb', 'fdbx', 'lp'] | None, max_iteration: int | Literal['auto'] | None, **kwargs: Any) -> None",pandapower/auxiliary.py#L1456,private,把潮流算法、初始化、迭代、连通性、限值和温度等选项写入 net._options。,"输入：net, tolerance_mva, trafo_loading, numba, ac, algorithm, max_iteration, **kwargs；输出：None",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,options.update；_add_options,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,人工复核
function,pandapower.auxiliary._add_ppc_options,"(net: pandapowerNet, calculate_voltage_angles: bool, trafo_model: Literal['t', 'pi'], check_connectivity: bool, mode: Literal['opf', 'pf', 'pf_3ph', 'sc', 'nx', 'se', 'dc'], switch_rx_ratio: int, enforce_p_lims: bool, enforce_q_lims: bool, recycle: dict[str, bool] | None, delta: float=1e-10, voltage_depend_loads: bool=False, trafo3w_losses: Literal['hv', 'lv', 'star']='hv', init_vm_pu: Literal['flat', 'results'] | float=1.0, init_va_degree: Literal['dc', 'flat', 'results'] | float=0, p_lim_default: float=1000000000.0, q_lim_default: float=1000000000.0, neglect_open_switch_branches: bool=False, consider_line_temperature: bool=False, distributed_slack: bool=False, tdpf: bool=False, tdpf_update_r_theta: bool=True, tdpf_delay_s: float | None=None) -> None",pandapower/auxiliary.py#L1378,private,把网络转换、公差和模式等公共选项写入 net._options，供 pd2ppc 与后续求解链读取。,"输入：net, calculate_voltage_angles, trafo_model, check_connectivity, mode, switch_rx_ratio, enforce_p_lims, enforce_q_lims, recycle, delta, voltage_depend_loads, trafo3w_losses, init_vm_pu, init_va_degree, p_lim_default, q_lim_default, neglect_open_switch_branches, consider_line_temperature, distributed_slack, tdpf, tdpf_update_r_theta, tdpf_delay_s；输出：None",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,_add_options；isinstance,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,人工复核
function,pandapower.auxiliary._add_sc_options,"(net: pandapowerNet, fault: Literal['1ph', '2ph', '3ph'], case: Literal['max', 'min'], lv_tol_percent: int, tk_s: float, topology: Literal['auto', 'meshed', 'radial'], r_fault_ohm: float, x_fault_ohm: float, kappa: bool, ip: bool, ith: bool, branch_results: bool, kappa_method: Literal['B', 'C'], return_all_currents: bool, inverse_y: bool, use_pre_fault_voltage: bool) -> None",pandapower/auxiliary.py#L1503,private,"creates dictionary for pf, opf and short circuit calculations from input parameters.","输入：net, fault, case, lv_tol_percent, tk_s, topology, r_fault_ohm, x_fault_ohm, kappa, ip, ith, branch_results, kappa_method, return_all_currents, inverse_y, use_pre_fault_voltage；输出：None",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,_add_options,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._add_vsc_stacked,(net: pandapowerNet),pandapower/auxiliary.py#L1979,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary._add_vsc_stacked 的实现与调用链确认。,输入：net；输出：返回值未注解,可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,net.vsc_stacked.iterrows；create_vsc；str,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._check_bus_index_and_print_warning_if_high,"(net: pandapowerNet, n_max: int=int(10000000.0)) -> None",pandapower/auxiliary.py#L1438,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary._check_bus_index_and_print_warning_if_high 的实现与调用链确认。,"输入：net, n_max；输出：None",可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,int；max；len；logger.warning,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._check_connectivity,"(ppc: PyPowerNetwork) -> tuple[NDArray[bool], int, int, NDArray[bool], int, int]",pandapower/auxiliary.py#L1119,private,Checks if the ppc contains isolated buses. If yes this isolated buses are set out of service :param ppc: pypower case file :return:,"输入：ppc；输出：tuple[NDArray[bool], int, int, NDArray[bool], int, int]",可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,astype；real.astype；np.hstack；sp.sparse.coo_matrix；sp.sparse.csgraph.breadth_first_order；np.ones；_set_isolated_nodes_out_of_service；len；np.array,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._check_connectivity_opf,"(ppc: PyPowerNetwork) -> tuple[NDArray[bool], int, int]",pandapower/auxiliary.py#L1079,private,Checks if the ppc contains isolated buses and changes slacks to PV nodes if multiple slacks are in net. :param ppc: pypower case file :return:,"输入：ppc；输出：tuple[NDArray[bool], int, int]",可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,astype；real.astype；sp.sparse.coo_matrix；np.ones；set；_set_isolated_nodes_out_of_service；sp.sparse.csgraph.breadth_first_order；len；list；logger.warning,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._check_gen_index_and_print_warning_if_high,"(net: pandapowerNet, n_max: int=int(10000000.0)) -> None",pandapower/auxiliary.py#L1446,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary._check_gen_index_and_print_warning_if_high 的实现与调用链确认。,"输入：net, n_max；输出：None",可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,int；max；len；logger.warning,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
function,pandapower.auxiliary._check_if_numba_is_installed,"(level: Literal['error', 'warning', 'info', 'debug', 'UserWarning']='warning') -> bool",pandapower/auxiliary.py#L1628,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary._check_if_numba_is_installed 的实现与调用链确认。,输入：level；输出：bool,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,log_to_level,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
